country_code,Gold Medal,Silver Medal,Bronze Medal,Total
USA,19,26,26,71
CHN,19,15,11,45
FRA,12,14,18,44
AUS,12,11,8,31
GBR,10,12,15,37
KOR,10,7,7,24
JPN,9,5,10,24
ITA,7,10,5,22
NED,6,5,4,15
CAN,5,4,8,17
GER,5,4,2,11
HUN,3,3,2,8
ROU,3,3,1,7
IRL,3,0,3,6
NZL,2,4,1,7
SWE,2,3,2,7
UKR,2,1,3,6
CRO,2,1,1,4
BEL,2,0,3,5
HKG,2,0,2,4
AZE,2,0,0,2
PHI,2,0,0,2
SRB,2,0,0,2
BRA,1,4,5,10
ISR,1,4,1,6
AIN,1,3,0,4
ESP,1,2,5,8
GEO,1,2,1,4
SUI,1,1,4,6
KAZ,1,1,2,4
RSA,1,1,2,4
TPE,1,0,2,3
UZB,1,0,2,3
CZE,1,0,1,2
GUA,1,0,1,2
ALG,1,0,0,1
ARG,1,0,0,1
CHI,1,0,0,1
DMA,1,0,0,1
ECU,1,0,0,1
LCA,1,0,0,1
SLO,1,0,0,1
UGA,1,0,0,1
JAM,0,2,1,3
MEX,0,2,1,3
PRK,0,2,1,3
GRE,0,1,4,5
POL,0,1,3,4
KOS,0,1,1,2
TUR,0,1,1,2
ARM,0,1,0,1
DEN,0,1,0,1
ETH,0,1,0,1
FIJ,0,1,0,1
MGL,0,1,0,1
TUN,0,1,0,1
IND,0,0,3,3
TJK,0,0,3,3
DOM,0,0,2,2
MDA,0,0,2,2
AUT,0,0,1,1
CPV,0,0,1,1
CUB,0,0,1,1
EGY,0,0,1,1
LTU,0,0,1,1
MAS,0,0,1,1
POR,0,0,1,1
SVK,0,0,1,1
