,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_WLT,qualification_mark,start_order,bib
9987,2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,FINISHED,M,Archery,ARC,Invalides,1902135,KIM Woojin,Person,KOR,Korea,1.0,686,POINTS,,,8,4B
9988,2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,FINISHED,M,Archery,ARC,Invalides,1902130,KIM Je Deok,Person,KOR,Korea,2.0,682,POINTS,,,10,5B
9989,2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,FINISHED,M,Archery,ARC,Invalides,1553249,UNRUH Florian,Person,GER,Germany,3.0,681,POINTS,,,37,19A
9990,2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,FINISHED,M,Archery,ARC,Invalides,1546108,BOMMADEVARA Dhiraj,Person,IND,India,4.0,681,POINTS,,,24,12B
9991,2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,FINISHED,M,Archery,ARC,Invalides,1902144,LEE Wooseok,Person,KOR,Korea,5.0,681,POINTS,,,12,6B
9992,2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,FINISHED,M,Archery,ARC,Invalides,1541270,ADDIS Baptiste,Person,FRA,France,6.0,678,POINTS,,,11,6A
9993,2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,FINISHED,M,Archery,ARC,Invalides,1955595,ELLISON Brady,Person,USA,United States,7.0,677,POINTS,,,39,20A
9994,2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,FINISHED,M,Archery,ARC,Invalides,1565000,GAZOZ Mete,Person,TUR,Türkiye,8.0,676,POINTS,,,14,7B
9995,2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,FINISHED,M,Archery,ARC,Invalides,1541272,CHIRAULT Thomas,Person,FRA,France,9.0,676,POINTS,,,7,4A
9996,2024-07-25T16:35:29+02:00,ARCMINDIVID-----------QUAL000100--,ARCMINDIVID,Men's Individual,Men's Individual Ranking Round,Ranking Round,FINISHED,M,Archery,ARC,Invalides,1565002,TUMER Berkim,Person,TUR,Türkiye,10.0,676,POINTS,,,18,9B
