,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,qualification_mark,start_order,bib
2161,2024-08-03T17:48:06+02:00,ATHX4X400M------------RND1000200--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1 - Heat 2,Round 1 - Heat 2,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--GBR01,Great Britain,Team,GBR,Great Britain,1.0,3:10.61,TIME,,,Q,4,
2162,2024-08-03T17:48:06+02:00,ATHX4X400M------------RND1000200--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1 - Heat 2,Round 1 - Heat 2,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--NED01,Netherlands,Team,NED,Netherlands,2.0,3:10.81,TIME,,,Q,6,
2163,2024-08-03T17:48:06+02:00,ATHX4X400M------------RND1000200--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1 - Heat 2,Round 1 - Heat 2,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--ITA01,Italy,Team,ITA,Italy,3.0,3:11.59,TIME,,,Q,3,
2164,2024-08-03T17:48:06+02:00,ATHX4X400M------------RND1000200--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1 - Heat 2,Round 1 - Heat 2,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--NGR01,Nigeria,Team,NGR,Nigeria,4.0,3:11.99,TIME,,,,5,
2165,2024-08-03T17:48:06+02:00,ATHX4X400M------------RND1000200--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1 - Heat 2,Round 1 - Heat 2,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--IRL01,Ireland,Team,IRL,Ireland,5.0,3:12.67,TIME,,,,7,
2166,2024-08-03T17:48:06+02:00,ATHX4X400M------------RND1000200--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1 - Heat 2,Round 1 - Heat 2,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--UKR01,Ukraine,Team,UKR,Ukraine,6.0,3:15.51,TIME,,,,2,
2167,2024-08-03T17:48:06+02:00,ATHX4X400M------------RND1000200--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1 - Heat 2,Round 1 - Heat 2,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--GER01,Germany,Team,GER,Germany,7.0,3:15.63,TIME,,,,9,
2168,2024-08-03T17:48:06+02:00,ATHX4X400M------------RND1000200--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1 - Heat 2,Round 1 - Heat 2,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--DOM01,Dominican Republic,Team,DOM,Dominican Republic,8.0,3:18.39,TIME,,,,8,
8356,2024-08-03T18:03:01+02:00,ATHX4X400M------------RND1000100--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1 - Heat 1,Round 1 - Heat 1,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--USA01,United States of America,Team,USA,United States,1.0,3:07.41,TIME,,,Q,6,
8357,2024-08-03T18:03:01+02:00,ATHX4X400M------------RND1000100--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1 - Heat 1,Round 1 - Heat 1,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--FRA01,France,Team,FRA,France,2.0,3:10.60,TIME,,,Q,8,
8358,2024-08-03T18:03:01+02:00,ATHX4X400M------------RND1000100--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1 - Heat 1,Round 1 - Heat 1,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--BEL01,Belgium,Team,BEL,Belgium,3.0,3:10.74,TIME,,,Q,7,
8359,2024-08-03T18:03:01+02:00,ATHX4X400M------------RND1000100--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1 - Heat 1,Round 1 - Heat 1,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--JAM01,Jamaica,Team,JAM,Jamaica,4.0,3:11.06,TIME,,,q,2,
8360,2024-08-03T18:03:01+02:00,ATHX4X400M------------RND1000100--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1 - Heat 1,Round 1 - Heat 1,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--POL01,Poland,Team,POL,Poland,5.0,3:11.43,TIME,,,q,5,
8361,2024-08-03T18:03:01+02:00,ATHX4X400M------------RND1000100--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1 - Heat 1,Round 1 - Heat 1,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--SUI01,Switzerland,Team,SUI,Switzerland,6.0,3:12.77,TIME,,,,9,
8362,2024-08-03T18:03:01+02:00,ATHX4X400M------------RND1000100--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1 - Heat 1,Round 1 - Heat 1,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--KEN01,Kenya,Team,KEN,Kenya,7.0,3:13.13,TIME,,,,3,
8363,2024-08-03T18:03:01+02:00,ATHX4X400M------------RND1000100--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1 - Heat 1,Round 1 - Heat 1,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--BAH01,Bahamas,Team,BAH,Bahamas,8.0,3:14.58,TIME,,,,4,
7534,2024-08-04T09:34:20+02:00,ATHX4X400M------------FNL-000100--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Final,Final,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--NED01,Netherlands,Team,NED,Netherlands,1.0,3:07.43,TIME,,,,7,
7535,2024-08-04T09:34:20+02:00,ATHX4X400M------------FNL-000100--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Final,Final,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--USA01,United States of America,Team,USA,United States,2.0,3:07.74,TIME,,,,5,
7536,2024-08-04T09:34:20+02:00,ATHX4X400M------------FNL-000100--,ATHX4X400M,4 x 400m Relay Mixed,4 x 400m Relay Mixed Final,Final,FINISHED,X,Athletics,ATH,Stade de France,ATHX4X400M--GBR01,Great Britain,Team,GBR,Great Britain,3.0,3:08.01,TIME,,,,8,
