,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM
4702,2024-07-27T10:00:05+02:00,BDMMDOUBLES-----------GPA-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN02,LIANG Wei Keng / WANG Chang,Team,CHN,China,2,POINTS,W,
4703,2024-07-27T10:00:05+02:00,BDMMDOUBLES-----------GPA-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CAN01,DONG Adam / YAKURA Nyl,Team,CAN,Canada,0,POINTS,L,
12346,2024-07-27T11:42:25+02:00,BDMMDOUBLES-----------GPA-000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-MAS01,CHIA Aaron / SOH Wooi Yik,Team,MAS,Malaysia,2,POINTS,W,
12347,2024-07-27T11:42:25+02:00,BDMMDOUBLES-----------GPA-000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-GBR01,LANE Ben / VENDY Sean,Team,GBR,Great Britain,1,POINTS,L,
2674,2024-07-27T15:28:34+02:00,BDMMDOUBLES-----------GPC-000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group C,Group Play Stage - Group C,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-INA01,ALFIAN Fajar / ARDIANTO Muhammad Rian,Team,INA,Indonesia,2,POINTS,W,
2675,2024-07-27T15:28:34+02:00,BDMMDOUBLES-----------GPC-000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group C,Group Play Stage - Group C,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-GER01,LAMSFUSS Mark / SEIDEL Marvin,Team,GER,Germany,0,POINTS,L,
7204,2024-07-27T17:26:13+02:00,BDMMDOUBLES-----------GPC-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group C,Group Play Stage - Group C,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-IND01,RANKIREDDY Satwiksairaj / SHETTY Chirag,Team,IND,India,2,POINTS,W,
7205,2024-07-27T17:26:13+02:00,BDMMDOUBLES-----------GPC-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group C,Group Play Stage - Group C,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-FRA02,CORVEE Lucas / LABAR Ronan,Team,FRA,France,0,POINTS,L,
11676,2024-07-27T20:21:43+02:00,BDMMDOUBLES-----------GPB-000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-THA01,JOMKOH Supak / KEDREN Kittinupong,Team,THA,Thailand,2,POINTS,W,
11677,2024-07-27T20:21:43+02:00,BDMMDOUBLES-----------GPB-000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-FRA01,POPOV Christo / POPOV Toma Junior,Team,FRA,France,0,POINTS,L,
580,2024-07-27T21:53:51+02:00,BDMMDOUBLES-----------GPD-000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-JPN01,HOKI Takuro / KOBAYASHI Yugo,Team,JPN,Japan,0,POINTS,L,
581,2024-07-27T21:53:51+02:00,BDMMDOUBLES-----------GPD-000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-TPE01,LEE Yang / WANG Chi-Lin,Team,TPE,Chinese Taipei,2,POINTS,W,
5789,2024-07-27T22:44:59+02:00,BDMMDOUBLES-----------GPB-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-KOR01,KANG Min Hyuk / SEO Seung Jae,Team,KOR,Korea,2,POINTS,W,
5790,2024-07-27T22:44:59+02:00,BDMMDOUBLES-----------GPB-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CZE01,KRAL Ondrej / MENDREK Adam,Team,CZE,Czechia,0,POINTS,L,
10141,2024-07-27T22:58:27+02:00,BDMMDOUBLES-----------GPD-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-DEN01,ASTRUP Kim / RASMUSSEN Anders Skaarup,Team,DEN,Denmark,2,POINTS,W,
10142,2024-07-27T22:58:27+02:00,BDMMDOUBLES-----------GPD-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-USA01,CHIU Vinson / YUAN Joshua,Team,USA,United States,0,POINTS,L,
