,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM,start_order
3742,2024-07-27T14:46:36+02:00,VBVMTEAM2-------------GPD-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---USA01,Partain/Benesh,Team,USA,United States,0,POINTS,L,,1
3743,2024-07-27T14:46:36+02:00,VBVMTEAM2-------------GPD-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---CUB01,Diaz/Alayo,Team,CUB,Cuba,2,POINTS,W,,2
9368,2024-07-27T15:46:23+02:00,VBVMTEAM2-------------GPA-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---SWE01,Ahman/Hellvig,Team,SWE,Sweden,2,POINTS,W,,1
9369,2024-07-27T15:46:23+02:00,VBVMTEAM2-------------GPA-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---AUS02,Nicolaidis/Carracher,Team,AUS,Australia,0,POINTS,L,,2
13087,2024-07-27T19:55:43+02:00,VBVMTEAM2-------------GPD-000200--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---BRA01,George/Andre,Team,BRA,Brazil,2,POINTS,W,,1
13088,2024-07-27T19:55:43+02:00,VBVMTEAM2-------------GPD-000200--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---MAR01,Abicha/Elgraoui,Team,MAR,Morocco,0,POINTS,L,,2
1357,2024-07-27T23:54:15+02:00,VBVMTEAM2-------------GPA-000200--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---ITA01,Cottafava/Nicolai,Team,ITA,Italy,0,POINTS,L,,1
1358,2024-07-27T23:54:15+02:00,VBVMTEAM2-------------GPA-000200--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---QAT01,Cherif/Ahmed,Team,QAT,Qatar,2,POINTS,W,,2
8398,2024-07-28T13:39:01+02:00,VBVMTEAM2-------------GPB-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---NED02,van de Velde/Immers,Team,NED,Netherlands,1,POINTS,L,,1
8399,2024-07-28T13:39:01+02:00,VBVMTEAM2-------------GPB-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---ITA02,Ranghieri/Carambula,Team,ITA,Italy,2,POINTS,W,,2
8870,2024-07-28T17:51:38+02:00,VBVMTEAM2-------------GPE-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---CZE01,Perusic/Schweiner,Team,CZE,Czechia,2,POINTS,W,,1
8871,2024-07-28T17:51:38+02:00,VBVMTEAM2-------------GPE-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---CAN01,Schachter/Dearing,Team,CAN,Canada,0,POINTS,L,,2
1158,2024-07-28T20:46:07+02:00,VBVMTEAM2-------------GPE-000200--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---BRA02,Evandro/Arthur,Team,BRA,Brazil,2,POINTS,W,,1
1159,2024-07-28T20:46:07+02:00,VBVMTEAM2-------------GPE-000200--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---AUT01,Horl/Horst,Team,AUT,Austria,0,POINTS,L,,2
2356,2024-07-28T22:39:15+02:00,VBVMTEAM2-------------GPB-000200--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---NOR01,Mol/Sorum,Team,NOR,Norway,2,POINTS,W,,1
2357,2024-07-28T22:39:15+02:00,VBVMTEAM2-------------GPB-000200--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---CHI01,M.Grimalt/E.Grimalt,Team,CHI,Chile,0,POINTS,L,,2
1349,2024-07-29T09:45:48+02:00,VBVMTEAM2-------------GPA-000300--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---ITA01,Cottafava/Nicolai,Team,ITA,Italy,2,POINTS,W,,1
1350,2024-07-29T09:45:48+02:00,VBVMTEAM2-------------GPA-000300--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---AUS02,Nicolaidis/Carracher,Team,AUS,Australia,0,POINTS,L,,2
8098,2024-07-29T10:43:00+02:00,VBVMTEAM2-------------GPF-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---NED01,Boermans/de Groot,Team,NED,Netherlands,2,POINTS,W,,1
8099,2024-07-29T10:43:00+02:00,VBVMTEAM2-------------GPF-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---ESP01,Herrera/Gavira,Team,ESP,Spain,0,POINTS,L,,2
1779,2024-07-29T16:37:36+02:00,VBVMTEAM2-------------GPF-000200--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---FRA01,Krou/Gauthier-Rat,Team,FRA,France,0,POINTS,L,,1
1780,2024-07-29T16:37:36+02:00,VBVMTEAM2-------------GPF-000200--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---USA02,Evans/Budinger,Team,USA,United States,2,POINTS,W,,2
6667,2024-07-29T21:04:47+02:00,VBVMTEAM2-------------GPA-000400--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---SWE01,Ahman/Hellvig,Team,SWE,Sweden,1,POINTS,L,,1
6668,2024-07-29T21:04:47+02:00,VBVMTEAM2-------------GPA-000400--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---QAT01,Cherif/Ahmed,Team,QAT,Qatar,2,POINTS,W,,2
6080,2024-07-30T09:43:15+02:00,VBVMTEAM2-------------GPC-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---POL01,Bryl/Losiak,Team,POL,Poland,2,POINTS,W,,1
6081,2024-07-30T09:43:15+02:00,VBVMTEAM2-------------GPC-000100--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---AUS01,Hodges/Schubert,Team,AUS,Australia,0,POINTS,L,,2
10379,2024-07-30T10:49:37+02:00,VBVMTEAM2-------------GPC-000200--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---GER01,Ehlers/Wickler,Team,GER,Germany,2,POINTS,W,,1
10380,2024-07-30T10:49:37+02:00,VBVMTEAM2-------------GPC-000200--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---FRA02,Bassereau/Lyneel,Team,FRA,France,0,POINTS,L,,2
13075,2024-07-30T12:42:09+02:00,VBVMTEAM2-------------GPD-000300--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---BRA01,George/Andre,Team,BRA,Brazil,0,POINTS,L,,1
13076,2024-07-30T12:42:09+02:00,VBVMTEAM2-------------GPD-000300--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---CUB01,Diaz/Alayo,Team,CUB,Cuba,2,POINTS,W,,2
8250,2024-07-30T15:57:55+02:00,VBVMTEAM2-------------GPD-000400--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---USA01,Partain/Benesh,Team,USA,United States,2,POINTS,W,,1
8251,2024-07-30T15:57:55+02:00,VBVMTEAM2-------------GPD-000400--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---MAR01,Abicha/Elgraoui,Team,MAR,Morocco,0,POINTS,L,,2
1767,2024-07-30T18:26:30+02:00,VBVMTEAM2-------------GPF-000300--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---FRA01,Krou/Gauthier-Rat,Team,FRA,France,1,POINTS,L,,1
1768,2024-07-30T18:26:30+02:00,VBVMTEAM2-------------GPF-000300--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---ESP01,Herrera/Gavira,Team,ESP,Spain,2,POINTS,W,,2
3572,2024-07-30T20:41:12+02:00,VBVMTEAM2-------------GPF-000400--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---NED01,Boermans/de Groot,Team,NED,Netherlands,2,POINTS,W,,1
3573,2024-07-30T20:41:12+02:00,VBVMTEAM2-------------GPF-000400--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---USA02,Evans/Budinger,Team,USA,United States,0,POINTS,L,,2
1148,2024-07-31T09:58:46+02:00,VBVMTEAM2-------------GPE-000300--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---CZE01,Perusic/Schweiner,Team,CZE,Czechia,2,POINTS,W,,1
1149,2024-07-31T09:58:46+02:00,VBVMTEAM2-------------GPE-000300--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---AUT01,Horl/Horst,Team,AUT,Austria,0,POINTS,L,,2
2348,2024-07-31T16:49:24+02:00,VBVMTEAM2-------------GPB-000300--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---NED02,van de Velde/Immers,Team,NED,Netherlands,2,POINTS,W,,1
2349,2024-07-31T16:49:24+02:00,VBVMTEAM2-------------GPB-000300--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---CHI01,M.Grimalt/E.Grimalt,Team,CHI,Chile,0,POINTS,L,,2
6252,2024-07-31T21:15:08+02:00,VBVMTEAM2-------------GPE-000400--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---BRA02,Evandro/Arthur,Team,BRA,Brazil,2,POINTS,W,,1
6253,2024-07-31T21:15:08+02:00,VBVMTEAM2-------------GPE-000400--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---CAN01,Schachter/Dearing,Team,CAN,Canada,0,POINTS,L,,2
4080,2024-07-31T23:30:34+02:00,VBVMTEAM2-------------GPB-000400--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---NOR01,Mol/Sorum,Team,NOR,Norway,2,POINTS,W,,1
4081,2024-07-31T23:30:34+02:00,VBVMTEAM2-------------GPB-000400--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---ITA02,Ranghieri/Carambula,Team,ITA,Italy,0,POINTS,L,,2
10373,2024-08-01T10:04:00+02:00,VBVMTEAM2-------------GPC-000300--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---GER01,Ehlers/Wickler,Team,GER,Germany,2,POINTS,W,,1
10374,2024-08-01T10:04:00+02:00,VBVMTEAM2-------------GPC-000300--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---AUS01,Hodges/Schubert,Team,AUS,Australia,1,POINTS,L,,2
6677,2024-08-01T11:00:22+02:00,VBVMTEAM2-------------GPA-000500--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---QAT01,Cherif/Ahmed,Team,QAT,Qatar,2,POINTS,W,,1
6678,2024-08-01T11:00:22+02:00,VBVMTEAM2-------------GPA-000500--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---AUS02,Nicolaidis/Carracher,Team,AUS,Australia,0,POINTS,L,,2
8256,2024-08-01T12:41:18+02:00,VBVMTEAM2-------------GPD-000500--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---CUB01,Diaz/Alayo,Team,CUB,Cuba,2,POINTS,W,,1
8257,2024-08-01T12:41:18+02:00,VBVMTEAM2-------------GPD-000500--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---MAR01,Abicha/Elgraoui,Team,MAR,Morocco,0,POINTS,L,,2
2057,2024-08-01T16:04:17+02:00,VBVMTEAM2-------------GPD-000600--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---BRA01,George/Andre,Team,BRA,Brazil,1,POINTS,L,,1
2058,2024-08-01T16:04:17+02:00,VBVMTEAM2-------------GPD-000600--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---USA01,Partain/Benesh,Team,USA,United States,2,POINTS,W,,2
