,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,start_order
11216,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1961406,MATSUYAMA Hideki,Person,JPN,Japan,1.0,63,STROKES,,14
11217,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1951723,SCHAUFFELE Xander,Person,USA,United States,2.0,65,STROKES,,46
11218,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1935109,NIEMANN Joaquin,Person,CHI,Chile,3.0,66,STROKES,,6
11219,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1937366,GRILLO Emiliano,Person,ARG,Argentina,3.0,66,STROKES,,7
11220,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1572181,KIM Tom,Person,KOR,Korea,3.0,66,STROKES,,18
11221,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1880177,NOREN Alex,Person,SWE,Sweden,6.0,67,STROKES,,8
11222,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1939554,FOX Ryan,Person,NZL,New Zealand,6.0,67,STROKES,,9
11223,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1923629,FLEETWOOD Tommy,Person,GBR,Great Britain,6.0,67,STROKES,,15
11224,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1572603,STRAKA Sepp,Person,AUT,Austria,6.0,67,STROKES,,16
11225,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1951724,SCHEFFLER Scottie,Person,USA,United States,6.0,67,STROKES,,19
11226,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1905109,VALIMAKI Sami,Person,FIN,Finland,6.0,67,STROKES,,35
11227,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1897777,van ROOYEN Erik,Person,RSA,South Africa,6.0,67,STROKES,,37
11228,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1898582,RAHM Jon,Person,ESP,Spain,6.0,67,STROKES,,48
11229,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1892513,SCHMID Matthias,Person,GER,Germany,14.0,68,STROKES,,2
11230,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1540039,TOSTI Alejandro,Person,ARG,Argentina,14.0,68,STROKES,,5
11231,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1966402,CONNERS Corey,Person,CAN,Canada,14.0,68,STROKES,,11
11232,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1910508,McILROY Rory,Person,IRL,Ireland,14.0,68,STROKES,,20
11233,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1880175,ABERG Ludvig,Person,SWE,Sweden,14.0,68,STROKES,,21
11234,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1903740,MIGLIOZZI Guido,Person,ITA,Italy,14.0,68,STROKES,,24
11235,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1557703,ORTIZ Carlos,Person,MEX,Mexico,14.0,68,STROKES,,54
11236,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1909042,PAN C.T.,Person,TPE,Chinese Taipei,21.0,69,STROKES,,3
11237,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1941773,DAY Jason,Person,AUS,Australia,21.0,69,STROKES,,17
11238,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1913209,DOU Zecheng,Person,CHN,China,21.0,69,STROKES,,30
11239,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1903732,MANASSERO Matteo,Person,ITA,Italy,21.0,69,STROKES,,33
11240,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1898581,PUIG David,Person,ESP,Spain,21.0,69,STROKES,,36
11241,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1935118,PEREIRA Mito,Person,CHI,Chile,21.0,69,STROKES,,56
11242,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1976538,GIRRBACH Joel,Person,SUI,Switzerland,21.0,69,STROKES,,59
11243,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1905105,PULKKANEN Tapio,Person,FIN,Finland,21.0,69,STROKES,,60
11244,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1912058,PEREZ Victor,Person,FRA,France,29.0,70,STROKES,,1
11245,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1897778,BEZUIDENHOUT Christiaan,Person,RSA,South Africa,29.0,70,STROKES,,12
