,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
572,2024-07-27T12:30:42+02:00,HBLMTEAM7-------------GPB-000100--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---HUN01,Hungary,Team,HUN,Hungary,32,POINTS,L,1
573,2024-07-27T12:30:42+02:00,HBLMTEAM7-------------GPB-000100--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---EGY01,Egypt,Team,EGY,Egypt,35,POINTS,W,2
7833,2024-07-27T15:35:10+02:00,HBLMTEAM7-------------GPA-000200--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---CRO01,Croatia,Team,CRO,Croatia,30,POINTS,W,1
7834,2024-07-27T15:35:10+02:00,HBLMTEAM7-------------GPA-000200--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---JPN01,Japan,Team,JPN,Japan,29,POINTS,L,2
10137,2024-07-27T17:47:30+02:00,HBLMTEAM7-------------GPB-000200--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---NOR01,Norway,Team,NOR,Norway,36,POINTS,W,1
10138,2024-07-27T17:47:30+02:00,HBLMTEAM7-------------GPB-000200--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---ARG01,Argentina,Team,ARG,Argentina,31,POINTS,L,2
3143,2024-07-27T18:01:16+02:00,HBLMTEAM7-------------GPA-000100--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---ESP01,Spain,Team,ESP,Spain,25,POINTS,W,1
3144,2024-07-27T18:01:16+02:00,HBLMTEAM7-------------GPA-000100--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---SLO01,Slovenia,Team,SLO,Slovenia,22,POINTS,L,2
7847,2024-07-27T20:42:11+02:00,HBLMTEAM7-------------GPA-000300--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---GER01,Germany,Team,GER,Germany,30,POINTS,W,1
7848,2024-07-27T20:42:11+02:00,HBLMTEAM7-------------GPA-000300--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---SWE01,Sweden,Team,SWE,Sweden,27,POINTS,L,2
