,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,qualification_mark,start_order
7401,2024-07-29T15:56:54+02:00,SKBMSTREET------------QUAL--------,SKBMSTREET,Men's Street,Men's Street Prelims,Prelims,FINISHED,M,Skateboarding,SKB,La Concorde 3,1944226,EATON Jagger,Person,USA,United States,1.0,274.88,POINTS,Q,1
7402,2024-07-29T15:56:54+02:00,SKBMSTREET------------QUAL--------,SKBMSTREET,Men's Street,Men's Street Prelims,Prelims,FINISHED,M,Skateboarding,SKB,La Concorde 3,1944232,HUSTON Nyjah,Person,USA,United States,2.0,272.66,POINTS,Q,4
7403,2024-07-29T15:56:54+02:00,SKBMSTREET------------QUAL--------,SKBMSTREET,Men's Street,Men's Street Prelims,Prelims,FINISHED,M,Skateboarding,SKB,La Concorde 3,1902080,SHIRAI Sora,Person,JPN,Japan,3.0,270.42,POINTS,Q,4
7404,2024-07-29T15:56:54+02:00,SKBMSTREET------------QUAL--------,SKBMSTREET,Men's Street,Men's Street Prelims,Prelims,FINISHED,M,Skateboarding,SKB,La Concorde 3,1902081,HORIGOME Yuto,Person,JPN,Japan,4.0,270.18,POINTS,Q,1
7405,2024-07-29T15:56:54+02:00,SKBMSTREET------------QUAL--------,SKBMSTREET,Men's Street,Men's Street Prelims,Prelims,FINISHED,M,Skateboarding,SKB,La Concorde 3,1540647,DELL OLIO Matias,Person,ARG,Argentina,5.0,266.28,POINTS,Q,6
7406,2024-07-29T15:56:54+02:00,SKBMSTREET------------QUAL--------,SKBMSTREET,Men's Street,Men's Street Prelims,Prelims,FINISHED,M,Skateboarding,SKB,La Concorde 3,1955692,HOEFLER Kelvin,Person,BRA,Brazil,6.0,265.24,POINTS,Q,4
7407,2024-07-29T15:56:54+02:00,SKBMSTREET------------QUAL--------,SKBMSTREET,Men's Street,Men's Street Prelims,Prelims,FINISHED,M,Skateboarding,SKB,La Concorde 3,1961173,RUSSELL Cordano,Person,CAN,Canada,7.0,263.87,POINTS,Q,3
7408,2024-07-29T15:56:54+02:00,SKBMSTREET------------QUAL--------,SKBMSTREET,Men's Street,Men's Street Prelims,Prelims,FINISHED,M,Skateboarding,SKB,La Concorde 3,1911514,TURY Richard,Person,SVK,Slovakia,8.0,257.99,POINTS,Q,2
7409,2024-07-29T15:56:54+02:00,SKBMSTREET------------QUAL--------,SKBMSTREET,Men's Street,Men's Street Prelims,Prelims,FINISHED,M,Skateboarding,SKB,La Concorde 3,1880287,MILOU Vincent,Person,FRA,France,9.0,252.78,POINTS,,6
7410,2024-07-29T15:56:54+02:00,SKBMSTREET------------QUAL--------,SKBMSTREET,Men's Street,Men's Street Prelims,Prelims,FINISHED,M,Skateboarding,SKB,La Concorde 3,1571377,IGLESIAS Mauro,Person,ARG,Argentina,10.0,249.09,POINTS,,3
7411,2024-07-29T15:56:54+02:00,SKBMSTREET------------QUAL--------,SKBMSTREET,Men's Street,Men's Street Prelims,Prelims,FINISHED,M,Skateboarding,SKB,La Concorde 3,1961168,BERGER Matt,Person,CAN,Canada,11.0,230.44,POINTS,,2
