,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT
4768,2024-07-27T15:40:51+02:00,TTEMSINGLES-----------R128005800--,TTEMSINGLES,Men's Singles,Men's Singles Preliminary Round,Preliminary Round,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1930828,JHA Kanak,Person,USA,United States,4,POINTS,W
4769,2024-07-27T15:40:51+02:00,TTEMSINGLES-----------R128005800--,TTEMSINGLES,Men's Singles,Men's Singles Preliminary Round,Preliminary Round,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1572189,URSU Vladislav,Person,MDA,Republic of Moldova,0,POINTS,L
222,2024-07-27T16:30:36+02:00,TTEMSINGLES-----------R128003400--,TTEMSINGLES,Men's Singles,Men's Singles Preliminary Round,Preliminary Round,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1538190,DESAI Harmeet,Person,IND,India,4,POINTS,W
223,2024-07-27T16:30:36+02:00,TTEMSINGLES-----------R128003400--,TTEMSINGLES,Men's Singles,Men's Singles Preliminary Round,Preliminary Round,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1566883,ABO YAMAN Zaid,Person,JOR,Jordan,0,POINTS,L
6953,2024-07-27T16:30:40+02:00,TTEMSINGLES-----------R128006200--,TTEMSINGLES,Men's Singles,Men's Singles Preliminary Round,Preliminary Round,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1962788,DIAW Ibrahima,Person,SEN,Senegal,4,POINTS,W
6954,2024-07-27T16:30:40+02:00,TTEMSINGLES-----------R128006200--,TTEMSINGLES,Men's Singles,Men's Singles Preliminary Round,Preliminary Round,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,4660198,SHRESTHA Santoo,Person,NEP,Nepal,0,POINTS,L
123,2024-07-27T20:35:10+02:00,TTEMSINGLES-----------R64-000200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1903297,NUYTINCK Cedric,Person,BEL,Belgium,0,POINTS,L
124,2024-07-27T20:35:10+02:00,TTEMSINGLES-----------R64-000200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1563390,MOREGARD Truls,Person,SWE,Sweden,4,POINTS,W
4655,2024-07-27T20:42:30+02:00,TTEMSINGLES-----------R64-002600--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1941505,OMOTAYO Olajide,Person,NGR,Nigeria,1,POINTS,L
4656,2024-07-27T20:42:30+02:00,TTEMSINGLES-----------R64-002600--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1536215,ALAMIYAN Noshad,Person,IRI,IR Iran,4,POINTS,W
