,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM
11648,2024-07-28T21:22:43+02:00,TENMDOUBLES-----------R32-000300--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,FINISHED,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-GRE01,Tsitsipas / Tsitsipas,Team,GRE,Greece,1,SCORE,L,
11649,2024-07-28T21:22:43+02:00,TENMDOUBLES-----------R32-000300--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,FINISHED,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-POR01,Borges / Cabral,Team,POR,Portugal,2,SCORE,W,
11650,2024-07-28T21:52:05+02:00,TENMDOUBLES-----------R32-000200--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,FINISHED,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-LBN01,Habib / Hassan,Team,LBN,Lebanon,0,SCORE,L,
11651,2024-07-28T21:52:05+02:00,TENMDOUBLES-----------R32-000200--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,FINISHED,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-AUS02,Ebden / Peers,Team,AUS,Australia,2,SCORE,W,
2268,2024-07-28T21:52:07+02:00,TENMDOUBLES-----------R32-001000--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,FINISHED,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-NED01,Griekspoor / Koolhof,Team,NED,Netherlands,2,SCORE,W,
2269,2024-07-28T21:52:07+02:00,TENMDOUBLES-----------R32-001000--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,FINISHED,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-HUN01,Fucsovics / Marozsan,Team,HUN,Hungary,0,SCORE,L,
4018,2024-07-28T22:25:20+02:00,TENMDOUBLES-----------R32-001600--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,FINISHED,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-AIN01,Medvedev / Safiullin,Team,AIN,AIN,0,SCORE,L,
4019,2024-07-28T22:25:20+02:00,TENMDOUBLES-----------R32-001600--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,FINISHED,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-GER01,Krawietz / Puetz,Team,GER,Germany,2,SCORE,W,
13381,2024-07-28T23:12:46+02:00,TENMDOUBLES-----------R32-001500--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,FINISHED,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-IND01,Balaji / Bopanna,Team,IND,India,0,SCORE,L,
13382,2024-07-28T23:12:46+02:00,TENMDOUBLES-----------R32-001500--,TENMDOUBLES,Men's Doubles,Men's Doubles First Round,First Round,FINISHED,M,Tennis,TEN,Roland-Garros Stadium,TENMDOUBLES-FRA01,Monfils / Roger-Vasselin,Team,FRA,France,2,SCORE,W,
