,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
8770,2024-07-27T22:38:19+02:00,VVOMTEAM6-------------GPC-000200--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---USA01,United States of America,Team,USA,United States,3,POINTS,W,1
8771,2024-07-27T22:38:19+02:00,VVOMTEAM6-------------GPC-000200--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---ARG01,Argentina,Team,ARG,Argentina,0,POINTS,L,2
3791,2024-07-30T10:21:58+02:00,VVOMTEAM6-------------GPB-000300--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---ITA01,Italy,Team,ITA,Italy,3,POINTS,W,1
3792,2024-07-30T10:21:58+02:00,VVOMTEAM6-------------GPB-000300--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---EGY01,Egypt,Team,EGY,Egypt,0,POINTS,L,2
8852,2024-07-30T15:11:20+02:00,VVOMTEAM6-------------GPC-000300--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---USA01,United States of America,Team,USA,United States,3,POINTS,W,1
8853,2024-07-30T15:11:20+02:00,VVOMTEAM6-------------GPC-000300--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---GER01,Germany,Team,GER,Germany,2,POINTS,L,2
2077,2024-07-31T11:32:47+02:00,VVOMTEAM6-------------GPB-000400--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---POL01,Poland,Team,POL,Poland,3,POINTS,W,1
2078,2024-07-31T11:32:47+02:00,VVOMTEAM6-------------GPB-000400--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---BRA01,Brazil,Team,BRA,Brazil,2,POINTS,L,2
1134,2024-07-31T15:08:03+02:00,VVOMTEAM6-------------GPC-000100--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---JPN01,Japan,Team,JPN,Japan,2,POINTS,L,1
1135,2024-07-31T15:08:03+02:00,VVOMTEAM6-------------GPC-000100--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---GER01,Germany,Team,GER,Germany,3,POINTS,W,2
